bid_merchandise,bid_country,bid_url,total_auctions,total_devices,total_countries,total_ips,total_urls,max_bids,max_auctions,max_devices,max_countries,max_ips,max_urls,bid_freq,auction_freq,device_freq,country_freq,ip_freq,url_freq,url_auction,ip_device,url_device,ip_country,url_country,max_bid_in_device,max_bid_in_country,max_bid_in_url,outcome
7.05E-05,0.001306165,0.001642576,0.000947867,0.001375516,0.007352941,4.27E-05,5.79E-05,0,0,0,0,0,0,0.499591837,0.578719723,0.568979592,0.578719723,0.578719723,0.578719723,0.015560495,0.001733746,0.002583271,0,0.001104134,0.000312451,0.000199013,0.000110368,0
0.001692346,0.007053292,0.002141919,0.025592417,0.037138927,0.066176471,0.001795332,0.001909391,0,0,0,0,0,0,0.591020408,0.709342561,0.670204082,0.798442907,0.672145329,0.692041522,0.018894887,0.002187822,0.002387569,0.002959641,0.003864468,0.000781128,0.004298679,0.001545152,1
0.00122225,0.017763845,0.001806833,0.025592417,0.019257221,0.014705882,0.001367872,0.001562229,0,0,0,0,0,0,0.61877551,0.710207612,0.723265306,0.903114187,0.69550173,0.710207612,0.015560495,0.003673891,0.003757486,0.00896861,0.010684793,0.003983753,0.004059863,0.001501004,0
0.000282058,0.006008359,0.000709593,0.004739336,0.011691884,0.007352941,0.000299222,0.000636464,0,0,0,0,0,0,0.720816327,0.826989619,0.747755102,0.922145329,0.802768166,0.767301038,0.031438552,0.000784314,0.002583271,0.002690583,0.006854829,0.000156226,0.000915459,0.000176589,0
0.025855281,0.022027168,0.0017477,0.168720379,0.203576341,0.367647059,0.03111909,0.034716195,0.333333333,0.25,0.285714286,0.2,0.222222222,0.333333333,0.372244898,0.551903114,0.535510204,0.660034602,0.429930796,0.446366782,0.053032709,0.009081527,0.007867236,0.011919283,0.013502634,0.013825965,0.034867059,0.004900338,1
5.88E-05,0.001044932,0.003285151,0.000947867,0.000687758,0.007352941,4.27E-05,0,0,0,0,0,0,0,0.774693878,0.856401384,0.864489796,0.856401384,0.856401384,0.916089965,0.007621467,0.003095975,0.001917883,0,0.000529064,0.000234338,0.000119408,0.000110368,0
2.35E-05,0.001044932,0.00131406,0,0,0,0,0,0,0,0,0,0,0,0.235918367,0.284602076,0.324897959,0.284602076,0.284602076,0.284602076,0.015560495,0.003095975,0.003874907,0,0.001104134,0.000156226,7.96E-05,4.41E-05,0
5.88E-05,0.001044932,0,0.002843602,0.000687758,0.007352941,4.27E-05,0.000289302,0,0,0,0,0,0,0.472653061,0.476643599,0.56244898,0.53633218,0.53633218,0.441176471,0.023499524,0.003095975,0.011703002,0,0.003404412,0.000312451,0.00015921,0,0
2.35E-05,0.001044932,0,0.001895735,0,0,0,0.000115721,0,0,0,0,0,0,0.584489796,0.559688581,0.674285714,0.654844291,0.654844291,0.559688581,0.015560495,0.003095975,0.011703002,0,0.003404412,0.000156226,7.96E-05,0,0
2.35E-05,0.001044932,0,0.001895735,0,0,0,0.000115721,0,0,0,0,0,0,0.308571429,0.267301038,0.398367347,0.362456747,0.362456747,0.267301038,0.015560495,0.003095975,0.011703002,0,0.003404412,0.000156226,7.96E-05,0,0
0.002573776,0.009054336,0.000670171,0.018009479,0.036451169,0.080882353,0.003163204,0.006248915,0.111111111,0,0.142857143,0.2,0,0.166666667,0.551020408,0.73183391,0.665306122,0.775951557,0.616782007,0.584775087,0.086217847,0.004705882,0.007867236,0.00470852,0.010397258,0.004530542,0.003303614,0.000993312,0
0.444910623,0.158991641,0.003107753,0.704265403,0.832874828,0.904411765,0.564119005,0.382225308,0.666666667,0.625,0.571428571,0.8,0.666666667,0.666666667,0.139591837,0.428200692,0.420408163,0.583044983,0.179930796,0.239619377,0.140679581,0.043921569,0.021292418,0.094565022,0.061233409,0.660209342,0.224486547,0.474339448,0
0.016476865,0.066118077,0.017417871,0.072985782,0.13823934,0.073529412,0.021586732,0.002893016,0.111111111,0.125,0.142857143,0.2,0.111111111,0.166666667,0.408163265,0.62283737,0.566530612,0.792387543,0.461072664,0.660034602,0.010003176,0.009287926,0.000939371,0.040358744,0.00529064,0.021715357,0.050390065,0.013641481,0
0.000235048,0.010449321,0.001070959,0.007582938,0.008940853,0,0.000299222,0.000405022,0,0,0,0,0,0,0.739591837,0.797577855,0.773061224,0.987889273,0.807958478,0.807958478,0.013813909,0.001320949,0.002191867,0.006278027,0.009155108,0.000234338,0.000796052,0.000132442,0
0.261678948,0.214916405,0.088009198,0.316587678,0.133425034,0.389705882,0.366375994,0.009489093,0.444444444,0.375,0.428571429,0.6,0.444444444,0.333333333,0.182857143,0.497404844,0.569795918,0.654844291,0.217128028,0.558823529,0.007462687,0.180433437,0.0032878,0.141470852,0.00347342,0.225511639,0.158255055,0.466768205,0
0.000105772,0.001217346,0.00065703,0.005687204,0.002063274,0.014705882,0.000128238,0.000231441,0,0,0,0,0,0,0.807346939,0.826989619,0.88244898,0.900519031,0.875432526,0.856401384,0.010955859,0.003095975,0.004853419,0.000295964,0.001874727,0.000468677,0.000238815,0.000110368,0
0.000211543,0.002784744,0.005584757,0.008530806,0.004814305,0.014705882,0.000299222,5.79E-05,0,0,0,0,0,0,0.750204082,0.791522491,0.82122449,0.89532872,0.810553633,0.930795848,0.00285805,0.003095975,0.000939371,0.001497758,0.000724588,0.00054679,0.000636841,0.000375251,0
0.007580298,0.014153605,0.000972405,0.152606635,0.118982118,0.161764706,0.011626913,0.015043685,0.111111111,0.125,0.142857143,0,0.111111111,0.166666667,0.471836735,0.559688581,0.57877551,0.728373702,0.514705882,0.51816609,0.02524611,0.005448916,0.005831931,0.009748879,0.013008074,0.004139978,0.017672345,0.005430104,0
0.000869678,0.01907001,6.57E-06,0.015165877,0.020632737,0.007352941,0.001325126,0.004223804,0,0,0,0,0,0,0.645714286,0.752595156,0.71755102,0.937716263,0.698096886,0.625432526,0.068751985,0.003219814,0.009315433,0.013452915,0.042509144,0.001249805,0.002149339,2.21E-05,0
0.013209698,0.009440961,0.000236531,0.11563981,0.142365887,0.426470588,0.020560828,0.047676908,0.111111111,0.125,0.142857143,0.2,0.111111111,0.166666667,0.426938776,0.583910035,0.564897959,0.647923875,0.465397924,0.419550173,0.106224198,0.008544892,0.015499628,0.006430493,0.01603294,0.03436963,0.01759274,0.006467563,1
7.05E-05,0.001306165,0.001642576,0.001895735,0.000687758,0.007352941,8.55E-05,5.79E-05,0,0,0,0,0,0,0.823673469,0.885813149,0.925714286,0.921280277,0.885813149,0.921280277,0.010320737,0.005159959,0.003874907,0.00044843,0.001104134,0.000390564,0.000199013,8.83E-05,0
0.018039935,0.017716823,0.00129435,0.110900474,0.172627235,0.316176471,0.028169616,0.029913788,0.111111111,0.125,0.142857143,0.2,0.111111111,0.166666667,0.401632653,0.587370242,0.548571429,0.673010381,0.438581315,0.459342561,0.069387107,0.009783282,0.008023797,0.012556054,0.013491132,0.009529761,0.018587804,0.00368629,1
0.006405058,0.006112853,0.000249671,0.152606635,0.064649243,0.308823529,0.010045311,0.022912689,0,0,0,0,0,0,0.484897959,0.559688581,0.627755102,0.673875433,0.526816609,0.48183391,0.038583677,0.009205366,0.016321578,0.004026906,0.010569779,0.003046399,0.002905588,0.000485619,1
0.001292764,0.028474399,0.006636005,0.036018957,0.019944979,0.007352941,0.002009062,0.000520743,0,0,0,0,0,0,0.613877551,0.680795848,0.72,0.937716263,0.662629758,0.798442907,0.003810734,0.005572755,0.001252495,0.020627803,0.00570469,0.003124512,0.004298679,0.002185286,0
0.001986156,0.004409613,0.009494087,0.05971564,0.002063274,0.125,0.003120458,0.000578603,0,0,0,0,0,0,0.539591837,0.596885813,0.845714286,0.706747405,0.583910035,0.749134948,0.002381708,0.075335397,0.01072449,0.002789238,0.000655579,0.007889392,0.001791116,0.00258261,0
0.005300333,0.009315569,0.00022339,0.054976303,0.066712517,0.169117647,0.008463709,0.01949893,0.111111111,0,0,0,0.111111111,0,0.50122449,0.647923875,0.626122449,0.725778547,0.542387543,0.496539792,0.090663703,0.007347781,0.013464323,0.006538117,0.016147954,0.006639588,0.00648782,0.000640134,1
0.000199791,0.008881923,0.000525624,0.012322275,0.004814305,0,0.000299222,0.000520743,0,0,0,0,0,0,0.763265306,0.770761246,0.829387755,0.999134948,0.819204152,0.80017301,0.010955859,0.003095975,0.004853419,0.006278027,0.011455386,0.000468677,0.000676644,0.000132442,0
0.00029381,0.013061651,0.001780552,0.002843602,0.005502063,0,0.000470206,0.000347162,0,0,0,0,0,0,0.728979592,0.875432526,0.815510204,0.994809689,0.780276817,0.826989619,0.027469038,0.004458204,0.003013817,0.009865471,0.008004969,0.001327918,0.000995064,0.000419398,0
0.063321934,0.073573668,0.000565046,0.406635071,0.390646492,0.272058824,0.106694024,0.167158479,0.222222222,0.25,0.285714286,0.4,0.222222222,0.333333333,0.29877551,0.475778547,0.48244898,0.685986159,0.323529412,0.310553633,0.106382979,0.017089783,0.019844221,0.058035874,0.087422078,0.030698328,0.060261105,0.023530451,0
0.001480802,0.00684953,0.0010841,0.053080569,0.032324622,0.058823529,0.002479268,0.002719435,0,0,0,0,0,0,0.604081633,0.650519031,0.684081633,0.809688581,0.647058824,0.665224913,0.013020006,0.004045408,0.003874907,0.004986547,0.006084236,0.003124512,0.002825983,0.00110368,0
0.000188038,0.003918495,0.002135348,0.008530806,0.004126547,0.007352941,0.000299222,0.000173581,0,0,0,0,0,0,0.753469388,0.784602076,0.826122449,0.923875433,0.80449827,0.864186851,0.006033661,0.003673891,0.002191867,0.002690583,0.002254273,0.000624902,0.000358223,0.000264883,0
0.009919026,0.011097179,0.000446781,0.056872038,0.174690509,0.272058824,0.017312131,0.028988023,0.222222222,0.125,0.285714286,0.2,0.222222222,0.333333333,0.449795918,0.644463668,0.547755102,0.685121107,0.480103806,0.461937716,0.130358844,0.005531476,0.007671533,0.008681614,0.015147333,0.010935791,0.011622353,0.006357195,0
0.044588607,0.038354232,0.005637319,0.289099526,0.195323246,0.367647059,0.079336582,0.022854828,0.333333333,0.375,0.428571429,0.4,0.333333333,0.166666667,0.327346939,0.505190311,0.53877551,0.660034602,0.349480969,0.482698962,0.020165132,0.025882353,0.005401386,0.031757848,0.008879074,0.09810967,0.061256169,0.074520451,1
0.001692346,0.010297806,0.000663601,0.009478673,0.051581843,0.044117647,0.00299222,0.004108083,0.111111111,0.125,0.142857143,0,0.111111111,0.166666667,0.592653061,0.791522491,0.645714286,0.830449827,0.629757785,0.628892734,0.103683709,0.002807018,0.003679205,0.008197309,0.011788926,0.000703015,0.005373348,0.001280268,0
0.109074028,0.056530825,0.001596583,0.696682464,0.490371389,0.617647059,0.195947679,0.156743621,0.222222222,0.25,0.285714286,0.4,0.222222222,0.333333333,0.254693878,0.429065744,0.463673469,0.615916955,0.270761246,0.316608997,0.058113687,0.025469556,0.01483424,0.047479821,0.036620431,0.134354007,0.076460755,0.095512438,1
0.001104726,0.003615465,0.00064389,0.032227488,0.028885832,0.080882353,0.001966316,0.002719435,0,0,0,0,0,0,0.622857143,0.686851211,0.688163265,0.779411765,0.661764706,0.660034602,0.021435376,0.003467492,0.004344593,0.002618834,0.004554551,0.000859241,0.002985193,0.000595987,0
0.007321745,0.00853187,0.000821288,0.111848341,0.120357634,0.257352941,0.013251261,0.01596945,0.111111111,0.125,0,0,0.111111111,0.166666667,0.474285714,0.58650519,0.577959184,0.690311419,0.503460208,0.51384083,0.036678311,0.00627451,0.006105914,0.006852018,0.008798565,0.016013123,0.012935838,0.007549169,0
0.111730071,0.123667712,0.002536137,0.192417062,0.403026135,0.286764706,0.203086261,0.113174796,0.222222222,0.25,0.285714286,0.4,0.222222222,0.333333333,0.252244898,0.540657439,0.48,0.680795848,0.26816609,0.344290657,0.151953001,0.032404541,0.012994638,0.105650224,0.056230304,0.270035932,0.170394842,0.144339227,0
3.53E-05,0.001567398,0.001971091,0.001895735,0,0,4.27E-05,0,0,0,0,0,0,0,0.795102041,0.807958478,0.907755102,0.902249135,0.842560554,0.902249135,0.004922198,0.007223942,0.003874907,0.000896861,0.001104134,0.000234338,0.000119408,6.62E-05,0
3.53E-05,0.000522466,0.00065703,0.001895735,0.000687758,0.007352941,4.27E-05,5.79E-05,0,0,0,0,0,0,0.768979592,0.779411765,0.825306122,0.814878893,0.814878893,0.814878893,0.010320737,0.003095975,0.003874907,0,0.001104134,0.000156226,7.96E-05,4.41E-05,0
1.18E-05,0.000522466,0.00065703,0.000947867,0,0,0,0,0,0,0,0,0,0,0.112653061,0.059688581,0.169795918,0.120242215,0.120242215,0.120242215,0.007621467,0.003095975,0.003874907,0,0.001104134,7.81E-05,3.98E-05,2.21E-05,0
1.18E-05,0.000522466,0.00065703,0,0,0,0,0,0,0,0,0,0,0,0.372244898,0.394463668,0.428571429,0.394463668,0.394463668,0.394463668,0.015560495,0.003095975,0.003874907,0,0.001104134,7.81E-05,3.98E-05,2.21E-05,0
1.18E-05,0.000522466,0.00065703,0,0,0,0,0,0,0,0,0,0,0,0.470204082,0.498269896,0.526530612,0.498269896,0.498269896,0.498269896,0.015560495,0.003095975,0.003874907,0,0.001104134,7.81E-05,3.98E-05,2.21E-05,0
1.18E-05,0.000522466,0.00065703,0.000947867,0,0,0,0,0,0,0,0,0,0,0.427755102,0.393598616,0.484897959,0.454152249,0.454152249,0.454152249,0.007621467,0.003095975,0.003874907,0,0.001104134,7.81E-05,3.98E-05,2.21E-05,0
1.18E-05,0.000522466,0.00065703,0,0.000687758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015560495,0.001031992,0.001917883,0,0.001104134,0,3.98E-05,2.21E-05,0
1.18E-05,0.000522466,0.00065703,0.000947867,0.000687758,0,0,0,0,0,0,0,0,0,0.386122449,0.349480969,0.386122449,0.410034602,0.410034602,0.410034602,0.007621467,0.001031992,0.001917883,0,0.001104134,0,3.98E-05,2.21E-05,0
0.00029381,0.002194357,8.54E-05,0.01042654,0.005502063,0.029411765,0.000512952,0.001272927,0,0,0,0,0,0,0.728979592,0.779411765,0.815510204,0.855536332,0.772491349,0.723183391,0.030168307,0.004912281,0.009980821,0.001434978,0.005244635,0.001171692,0.000796052,2.21E-05,0
5.88E-05,0.00261233,0,0.004739336,0.000687758,0,8.55E-05,0.000289302,0,0,0,0,0,0,0.832653061,0.82266436,0.92244898,0.977508651,0.882352941,0.82266436,0.015560495,0.005159959,0.011703002,0.001793722,0.006854829,0.000312451,0.000199013,0,0
1.18E-05,0.000522466,0,0.000947867,0,0,0,5.79E-05,0,0,0,0,0,0,0.31755102,0.276816609,0.373877551,0.33650519,0.33650519,0.276816609,0.015560495,0.003095975,0.007788955,0,0.002254273,7.81E-05,3.98E-05,0,0
1.18E-05,0.000522466,0,0.000947867,0,0,0,5.79E-05,0,0,0,0,0,0,0.547755102,0.520761246,0.604081633,0.580449827,0.580449827,0.520761246,0.015560495,0.003095975,0.007788955,0,0.002254273,7.81E-05,3.98E-05,0,0
3.53E-05,0.000522466,0,0.000947867,0.000687758,0.007352941,4.27E-05,0.000173581,0,0,0,0,0,0,0.813877551,0.862456747,0.870204082,0.862456747,0.862456747,0.802768166,0.031438552,0.003095975,0.007788955,0,0.002254273,0.000156226,7.96E-05,0,0
0.014596481,0.008134796,0.000335085,0.15450237,0.179504814,0.544117647,0.026887236,0.047619048,0.222222222,0.25,0.285714286,0.2,0.222222222,0.166666667,0.41877551,0.558823529,0.545306122,0.626297578,0.442906574,0.419550173,0.079390283,0.008875129,0.012290109,0.006636771,0.012594024,0.009373535,0.012219392,0.007460875,0
0.005030027,0.005532915,0.001248357,0.114691943,0.096286107,0.264705882,0.009275883,0.008505468,0.111111111,0.125,0.142857143,0.2,0.111111111,0.166666667,0.505306122,0.584775087,0.595918367,0.687716263,0.534602076,0.567474048,0.018894887,0.005366357,0.004070609,0.00438565,0.004554551,0.002343384,0.008079924,0.003620069,0
0.004618693,0.018192268,0.000584757,0.047393365,0.089408528,0.073529412,0.008591947,0.011977087,0.111111111,0.125,0.142857143,0.2,0.111111111,0.166666667,0.372244898,0.511245675,0.462040816,0.644463668,0.392733564,0.390138408,0.064464909,0.005325077,0.006184195,0.015569507,0.021703126,0.005155444,0.006647031,0.003642143,0
0.000376077,0.016718913,0.004763469,0.017061611,0.012379642,0,0.000683936,0.000173581,0,0,0,0,0,0,0.711836735,0.742214533,0.756734694,0.997404844,0.751730104,0.87716263,0.003016831,0.002641899,0.00078281,0.014349776,0.004554551,0.000234338,0.001273683,0.000485619,0
0.003067377,0.009252874,0.001990802,0.054976303,0.063961486,0.095588235,0.005727964,0.003703061,0,0,0,0,0,0,0.545306122,0.647058824,0.628571429,0.771626298,0.575259516,0.638408304,0.017148301,0.004912281,0.002661552,0.007748879,0.00529064,0.001796594,0.006448018,0.004105688,1
0.298840038,0.301426332,0.001537451,1,0.560522696,0.316176471,0.569590493,0.439912052,0.444444444,0.5,0.571428571,0.8,0.444444444,0.666666667,0.172244898,0.397923875,0.453061224,0.673010381,0.179065744,0.227508651,0.114004446,0.066377709,0.036439782,0.270726457,0.198721045,0.307217622,0.320331157,0.209368033,0
0.042978528,0.018030303,0.001057819,0.156398104,0.362448418,0.75,0.084081388,0.081062316,0.222222222,0.25,0.285714286,0.4,0.222222222,0.333333333,0.330612245,0.557958478,0.488163265,0.599480969,0.344290657,0.373702422,0.133852017,0.014365325,0.010372226,0.016242152,0.015607388,0.014763318,0.033394364,0.036377282,0
0.065707671,0.033448276,0.001787122,0.488151659,0.284731774,0.625,0.128793708,0.086848348,0.222222222,0.25,0.285714286,0.4,0.222222222,0.333333333,0.295510204,0.460207612,0.507755102,0.615051903,0.307093426,0.367647059,0.045887583,0.028937049,0.014129712,0.030538117,0.020046926,0.03046399,0.152284668,0.022404697,1
0.009025844,0.005564263,0.000571616,0.054028436,0.136176066,0.477941176,0.018038813,0.023722733,0.111111111,0.125,0.142857143,0.2,0.111111111,0.166666667,0.457959184,0.648788927,0.568163265,0.637543253,0.476643599,0.479238754,0.11225786,0.007760578,0.008062938,0.004852018,0.007119361,0.013904077,0.007084859,0.005628766,0
0.018780336,0.026426332,0.001018397,0.126066351,0.16781293,0.220588235,0.037573737,0.036278424,0.444444444,0.5,0.428571429,0.4,0.444444444,0.5,0.39755102,0.576124567,0.551020408,0.702422145,0.41349481,0.442906574,0.074150524,0.01378741,0.009980821,0.024565022,0.023255814,0.027495704,0.044499284,0.013200009,0
0.000669887,0.014629049,0.008869908,0.019905213,0.008253095,0.007352941,0.001325126,0.000173581,0,0,0,0,0,0,0.667755102,0.73183391,0.789387755,0.938581315,0.698961938,0.878892734,0.002540489,0.009122807,0.001174214,0.013452915,0.002254273,0.002499609,0.002228944,0.0011699,0
0.00416035,0.009780564,0.001800263,0.07014218,0.083906465,0.125,0.008335471,0.005438871,0,0,0,0,0,0,0.52,0.625432526,0.606530612,0.749134948,0.542387543,0.605536332,0.019847571,0.005531476,0.002974676,0.008869955,0.006026729,0.005233557,0.008318739,0.004966559,1
9.40E-05,0.001044932,0.005256242,0.005687204,0.002751032,0.014705882,0.000170984,0,0,0,0,0,0,0,0.790204082,0.799307958,0.838367347,0.87283737,0.828719723,0.96799308,0.001905367,0.003095975,0.000743669,0.000600897,0.00033354,0.000312451,0.000238815,0.000176589,0
0.002091927,0.012836991,0.000893561,0.029383886,0.055708391,0.044117647,0.0042746,0.004339524,0,0,0,0,0,0,0.575510204,0.698961938,0.639183673,0.830449827,0.599480969,0.624567474,0.037472213,0.004045408,0.003600924,0.012044843,0.012444506,0.000703015,0.006607228,0.000684281,0
0.002832329,0.012121212,0.000538765,0.009478673,0.060522696,0.066176471,0.005813456,0.007637563,0,0,0,0,0,0,0.551836735,0.792387543,0.633469388,0.801038062,0.574394464,0.576989619,0.191648142,0.005325077,0.00579279,0.011390135,0.015250845,0.001562256,0.007960516,0.001302342,0
0.094207242,0.030052247,0.001826544,0.372511848,0.485557084,1,0.194366077,0.122606029,0.333333333,0.375,0.428571429,0.4,0.333333333,0.5,0.266122449,0.483564014,0.464489796,0.574394464,0.271626298,0.337370242,0.085106383,0.025510836,0.011703002,0.028878924,0.017746647,0.122480862,0.112919917,0.089971967,0
