bidder_id,bid_merchandise,bid_country,bid_url,total_bids,total_auctions,total_merchandises,total_devices,total_countries,total_ips,total_urls,max_bids,max_auctions,max_merchandises,max_devices,max_countries,max_ips,max_urls,bid_freq,auction_freq,device_freq,country_freq,ip_freq,url_freq,url_auction,ip_merchandise,url_merchandise,ip_device,url_device,ip_country,url_country,max_bid_in_merchandise,min_bid_in_merchandise,max_bid_in_device,max_bid_in_country,max_bid_in_url,outcome
f219cbb3d454b32953619d5a4551f56dcg7gy                           ,4,4,4,4,4,1,2,1,4,1,1,1,1,1,1,1,1,25.53,25.53,26.22,26.91,25.53,26.91,0.25,4,1,2,0.5,4,1,4,4,3,4,4,0
fb92fc925c5df50f4da7874a7542cf2210z1f                           ,4,2,4,4,4,1,2,2,4,1,1,1,1,1,1,1,1,27.01,27.01,27.7,27.7,27.01,28.39,0.25,4,1,2,0.5,2,0.5,4,4,3,3,4,0
0a9c5e1f261c937c09817ea2d5e949f34v8oe                           ,4,2,4,4,2,1,2,2,4,1,1,1,1,1,1,1,1,26.36,27.05,27.05,27.05,26.36,27.74,0.5,4,1,2,0.5,2,0.5,4,4,3,2,4,0
497ef6187e03fd9d4387ac436461a40f982dq                           ,4,2,4,4,2,1,2,2,4,1,1,1,1,1,1,1,1,27.08,27.77,27.77,27.77,27.08,28.46,0.5,4,1,2,0.5,2,0.5,4,4,3,3,4,0
3c0026d48f3d6e10cef6cdb1f708793ccwkhr                           ,4,2,4,4,4,1,3,2,4,1,1,1,1,1,1,1,1,25.92,25.92,26.2,26.61,25.92,27.3,0.25,4,1,1.33,0.33,2,0.5,4,4,2,2,4,0
30c3c92cc9408f55cfa895ff8a505930a3yy1                           ,4,2,4,4,2,1,3,2,4,1,1,1,1,1,1,1,1,25.87,26.56,26.16,26.56,25.87,27.25,0.5,4,1,1.33,0.33,2,0.5,4,4,2,3,4,0
758bd601d6700494300ec1647682eb34vq1zp                           ,8,4,4,8,7,1,7,2,8,2,1,1,1,1,1,1,1,27.19,27.33,27.33,28.58,27.19,28.58,0.29,8,2,1.14,0.29,4,1,8,8,2,7,5,0
90eb8151eb82441b084d04893151619837abp                           ,4,4,4,4,1,1,4,1,4,1,1,1,1,1,1,1,1,26.63,28.02,26.63,28.02,26.63,28.02,1,4,1,1,0.25,4,1,4,4,1,4,4,0
497b8beb19a7f674bc53acf7f5c7ec8cxv68x                           ,4,1.33,4,4,4,1,4,3,4,1,1,1,1,1,1,1,1,27.87,27.87,27.87,28.15,27.87,29.25,0.25,4,1,1,0.25,1.33,0.33,4,4,1,2,4,0
429b876aa7e2d6741ddf322685363ccchue2v                           ,7,3.5,3.5,7,7,1,4,2,7,2,1,1,1,1,1,1,1,26.51,26.51,27.07,27.76,26.51,27.76,0.29,7,2,1.75,0.5,3.5,1,7,7,4,6,6,0
0c55920fb607fef2d33324f33565758a6e4dj                           ,22,2.75,3.14,22,11,1,20,8,22,7,1,1,1,1,1,1,1,26.19,26.89,26.29,27.2,26.19,27.34,0.64,22,7,1.1,0.35,2.75,0.88,22,22,2,13,8,0
dd76fa7a75bd0e1921f71d255a8e0853l4lbi                           ,3,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,26.78,27.88,27.88,27.88,26.78,27.88,1,3,1,3,1,3,1,3,3,3,3,3,0
86a34cdbb975c141eea1854b10dbf1c8seom3                           ,3,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,24.95,26.05,26.05,26.05,24.95,26.05,1,3,1,3,1,3,1,3,3,3,3,3,0
461b089147eb78c582ca8a30fa7581a7mflo5                           ,3,3,3,3,1,1,2,1,3,1,1,1,1,1,1,1,1,27.76,28.86,28.16,28.86,27.76,28.86,1,3,1,1.5,0.5,3,1,3,3,2,3,3,0
d43189c6eef7a763b2f8596228807dd89x9y9                           ,3,1.5,3,3,3,1,2,2,3,1,1,1,1,1,1,1,1,27.37,27.37,27.78,27.78,27.37,28.47,0.33,3,1,1.5,0.5,1.5,0.5,3,3,2,2,3,0
0853bead89b03dd38a04d84f4312da7dukglz                           ,3,1.5,3,3,3,1,2,2,3,1,1,1,1,1,1,1,1,28.06,28.06,28.46,28.46,28.06,29.15,0.33,3,1,1.5,0.5,1.5,0.5,3,3,2,2,3,0
f4189a40cc622eaef015a19d75d9fe21mylhz                           ,3,3,3,3,3,1,3,1,3,1,1,1,1,1,1,1,1,28.08,28.08,28.08,29.18,28.08,29.18,0.33,3,1,1,0.33,3,1,3,3,1,3,3,0
fcda141af3b545332fc3b2d55a8bba74uw7s0                           ,12,1.71,3,12,12,1,12,7,12,4,1,1,1,1,1,1,1,26.77,26.77,26.77,27.31,26.77,27.87,0.33,12,4,1,0.33,1.71,0.57,12,12,1,4,9,0
024cf43497fd7381df6254888670f84bwbbam                           ,3,1.5,3,3,2,1,3,2,3,1,1,1,1,1,1,1,1,25.62,26.03,25.62,26.03,25.62,26.72,0.5,3,1,1,0.33,1.5,0.5,3,3,1,2,3,0
050a3b29ca1818e1f237df8132bc2013bcuxi                           ,11,1.83,2.75,11,9,1,8,6,11,4,1,1,1,1,1,1,1,26.91,27.11,27.23,27.51,26.91,27.92,0.44,11,4,1.38,0.5,1.83,0.67,11,11,4,4,6,0
9e72fb21f7581cfff84e833d02538e5ar35kr                           ,5,5,2.5,5,2,1,4,1,5,2,1,1,1,1,1,1,1,26.12,27.04,26.35,27.73,26.12,27.04,1,5,2,1.25,0.5,5,2,5,5,2,5,4,0
c5babbaace35399cf51a9356bbc22733xpi5h                           ,5,2.5,2.5,5,5,1,4,2,5,2,1,1,1,1,1,1,1,27.17,27.17,27.4,28.09,27.17,28.09,0.4,5,2,1.25,0.5,2.5,1,5,5,2,4,3,0
48044b1b1f47f168864bc7c4a58a65ecmt187                           ,10,3.33,2.5,10,9,1,10,3,10,4,1,1,1,1,1,1,1,26.79,26.9,26.79,28,26.79,27.71,0.44,10,4,1,0.4,3.33,1.33,10,10,1,8,6,0
97db2350652f8d01237fc4c59a470eb81h9gs                           ,5,1.67,2.5,5,2,1,5,3,5,2,1,1,1,1,1,1,1,26.99,27.9,26.99,27.5,26.99,27.9,1,5,2,1,0.4,1.67,0.67,5,5,1,3,4,0
c5120d10a23eb0c10d56a19fecbf9da85t4ow                           ,5,1.67,2.5,5,5,1,5,3,5,2,1,1,1,1,1,1,1,27.49,27.49,27.49,28,27.49,28.4,0.4,5,2,1,0.4,1.67,0.67,5,5,1,3,4,0
28c0d4c81a22958352aa742f7d74e477qwo51                           ,11,3.67,2.2,11,10,1,9,3,11,5,1,1,1,1,1,1,1,26.67,26.77,26.87,27.97,26.67,27.46,0.5,11,5,1.22,0.56,3.67,1.67,11,11,2,9,7,0
3835e3bbf9a17a33867860a9ba19621dp4wdc                           ,10,5,2,10,6,1,5,2,10,5,1,1,1,1,1,1,1,26.9,27.41,27.59,28.51,26.9,27.59,0.83,10,5,2,1,5,2.5,10,10,4,7,6,0
f3d3c913b225bc6cdb98c60f0936f7cbj8k3a                           ,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,21.74,21.74,22.43,22.43,21.74,22.43,0.5,2,1,2,1,2,1,2,2,2,2,2,0
bfc7a0819397d910db7c24eaba1ed4c68dwiq                           ,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,26.56,26.56,27.25,27.25,26.56,27.25,0.5,2,1,2,1,2,1,2,2,2,2,2,0
bf8de839c1a8b7994d19049667548e4ewchpm                           ,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,27.84,28.54,28.54,28.54,27.84,28.54,1,2,1,2,1,2,1,2,2,2,2,2,0
df12e679581fb2054907dae75c9c78ee9kzzv                           ,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,27.88,27.88,28.57,28.57,27.88,28.57,0.5,2,1,2,1,2,1,2,2,2,2,2,0
7f3516b1bd7e5571ab964ba0affe9302brn6q                           ,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,27.82,27.82,28.51,28.51,27.82,28.51,0.5,2,1,2,1,2,1,2,2,2,2,2,0
9f9dd5c179d357b53f145ae1e5cc941f5qfuy                           ,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,27.7,27.7,28.4,27.7,27.7,28.4,0.5,2,1,2,1,1,0.5,2,2,2,1,2,0
5bbc8f66464ec2d962b0360d1d74bf67imj47                           ,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,27.2,27.2,27.89,27.2,27.2,27.89,0.5,2,1,2,1,1,0.5,2,2,2,1,2,0
17e4d6d9a1f8ec00cec1d4fe79b059bd51476                           ,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,23.81,23.81,24.51,23.81,23.81,24.51,0.5,2,1,2,1,1,0.5,2,2,2,1,2,0
6ab75792932fb1ea6fc74a18edb7888c2orvk                           ,8,8,2,8,2,1,6,1,8,4,1,1,1,1,1,1,1,26.31,27.69,26.6,28.39,26.31,27,2,8,4,1.33,0.67,8,4,8,8,3,8,3,0
bd8bd6cae40abb19b81b6b6a7775f63e5tk1s                           ,4,4,2,4,4,1,3,1,4,2,1,1,1,1,1,1,1,27.69,27.69,27.98,29.08,27.69,28.39,0.5,4,2,1.33,0.67,4,2,4,4,2,4,3,0
361397432ed35185b5a2789867a859ec42v14                           ,8,2,2,8,6,1,7,4,8,4,1,1,1,1,1,1,1,27.18,27.47,27.32,27.88,27.18,27.88,0.67,8,4,1.14,0.57,2,1,8,8,2,4,4,0
b2a19e17e1b9e0bca8e4563efbff5fed7v9xe                           ,14,4.67,2,14,2,1,14,3,14,7,1,1,1,1,1,1,1,26.45,28.39,26.45,27.99,26.45,27.14,3.5,14,7,1,0.5,4.67,2.33,14,14,1,12,4,0
c616385a2762ecfd8e4ea16d8a1f2596qw07a                           ,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,21.57,21.57,21.57,22.27,21.57,22.27,0.5,2,1,1,0.5,2,1,2,2,1,2,2,0
8a7710ee3c886df8ca78c88120603cf6taql6                           ,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,28.21,28.21,28.21,28.9,28.21,28.9,0.5,2,1,1,0.5,2,1,2,2,1,2,2,0
898419c2d011d5a822e9ee07c387098ezpc12                           ,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,27.14,27.83,27.14,27.83,27.14,27.83,1,2,1,1,0.5,2,1,2,2,1,2,2,0
058a4e0ac0a20f504cc9c6aae2a896e6too9v                           ,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,27.4,28.1,27.4,28.1,27.4,28.1,1,2,1,1,0.5,2,1,2,2,1,2,2,0
1717f6d4c48ae8d3e5f2566d4bb525f854j6d                           ,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,25.28,25.28,25.28,25.97,25.28,25.97,0.5,2,1,1,0.5,2,1,2,2,1,2,2,0
9f7e3e648ea8e6815c6e7caf59412e843iqbz                           ,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,27.54,27.54,27.54,28.23,27.54,28.23,0.5,2,1,1,0.5,2,1,2,2,1,2,2,0
74cf3a0c5e4f080415888bad2f7119499lh63                           ,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,27.41,27.41,27.41,28.1,27.41,28.1,0.5,2,1,1,0.5,2,1,2,2,1,2,2,0
e959a3ae64e28a7d3b37934c0d826867o3sp6                           ,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,27.63,27.63,27.63,27.63,27.63,28.32,0.5,2,1,1,0.5,1,0.5,2,2,1,1,2,0
24108e769a15b155bd2d63c58368ae5946zhs                           ,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,27.72,27.72,27.72,27.72,27.72,28.42,0.5,2,1,1,0.5,1,0.5,2,2,1,1,2,0
420e7aebb49d7ab3c04e109a98e152d7kquiz                           ,4,1,2,4,4,1,4,4,4,2,1,1,1,1,1,1,1,27.82,27.82,27.82,27.82,27.82,28.51,0.5,4,2,1,0.5,1,0.5,4,4,1,1,3,0
d878560888b11447e73324a6e263fbd5iydo1                           ,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,28.48,28.48,28.48,28.48,28.48,29.17,0.5,2,1,1,0.5,1,0.5,2,2,1,1,2,0
f46cfa9acdb6a4c419c70c19be4ff9523uixs                           ,36,3.6,1.89,36,21,1,33,10,36,19,1,1,1,1,1,1,1,25.67,26.21,25.76,26.96,25.67,26.31,0.9,36,19,1.09,0.58,3.6,1.9,36,36,2,10,5,0
37ca0d0ded383d709676a4f9729ef39cpjfh4                           ,9,1.8,1.8,9,8,1,8,5,9,5,1,1,1,1,1,1,1,27.08,27.2,27.2,27.67,27.08,27.67,0.63,9,5,1.13,0.63,1.8,1,9,9,2,3,5,0
60849c6d966f178808d94543173cb93dog4gt                           ,7,2.33,1.75,7,6,1,7,3,7,4,1,1,1,1,1,1,1,27.05,27.21,27.05,27.9,27.05,27.61,0.67,7,4,1,0.57,2.33,1.33,7,7,1,5,3,0
3106ad6371a3b740e2af90635a4ad966zeu1u                           ,5,1,1.67,5,3,1,1,5,5,3,1,1,1,1,1,1,1,24.55,25.06,26.16,24.55,24.55,25.06,1,5,3,5,3,1,0.6,5,5,5,1,3,0
78c82f2e8764bc8001354128f9265efcqrthe                           ,5,2.5,1.67,5,2,1,3,2,5,3,2,1,1,1,1,2,1,26.25,27.17,26.77,27.17,26.25,26.77,1.5,5,3,1.67,1,2.5,1.5,5,5,3,4,3,0
e783e5f6b818d18eda4065282022ac23jd1fw                           ,5,2.5,1.67,5,2,1,4,2,5,3,1,1,1,1,1,1,1,26.76,27.68,26.98,27.68,26.76,27.27,1.5,5,3,1.25,0.75,2.5,1.5,5,5,2,4,2,0
45927dd51fb4301c459ab96d48f64752q0o9e                           ,10,1.67,1.67,10,8,1,9,6,10,6,1,1,1,1,1,1,1,26.99,27.21,27.1,27.5,26.99,27.5,0.75,10,6,1.11,0.67,1.67,1,10,10,2,3,4,0
3b8320619393a6f6bf12219b61cda688k4w4e                           ,5,2.5,1.67,5,5,1,5,2,5,3,1,1,1,1,1,1,1,27.56,27.56,27.56,28.48,27.56,28.08,0.6,5,3,1,0.6,2.5,1.5,5,5,1,4,2,0
8bf04b0a219c7834b25057c0220b4d0dhwdsg                           ,5,1.67,1.67,5,3,1,5,3,5,3,1,1,1,1,1,1,1,27.28,27.79,27.28,27.79,27.28,27.79,1,5,3,1,0.6,1.67,1,5,5,1,3,2,0
e932ef68638c37220f4c2c386cf54578x4hpn                           ,8,4,1.6,8,4,1,8,2,8,5,1,1,1,1,1,1,1,27.15,27.84,27.15,28.53,27.15,27.62,1.25,8,5,1,0.63,4,2.5,8,8,1,6,3,0
459ea22b6b51936d0788de9f78a3547bf4jrw                           ,14,14,1.56,14,2,1,12,1,14,9,1,1,1,1,1,1,1,26.1,28.05,26.26,28.74,26.1,26.54,4.5,14,9,1.17,0.75,14,9,14,14,2,14,6,0
24d4554556deeebf61510cf3e001edecu8hgj                           ,3,1,1.5,3,2,1,1,3,3,2,1,1,1,1,1,1,1,25.06,25.47,26.16,25.06,25.06,25.47,1,3,2,3,2,1,0.67,3,3,3,1,2,0
3ecced86078287dbd2eac2cfac98367fbbelu                           ,3,1,1.5,3,2,1,1,3,3,2,1,1,1,1,1,1,1,24.07,24.48,25.17,24.07,24.07,24.48,1,3,2,3,2,1,0.67,3,3,3,1,2,0
36473d4c641c4c09c20c80e2ab35a36dwzp5d                           ,3,3,1.5,3,3,1,2,1,3,2,1,1,1,1,1,1,1,27.61,27.61,28.01,28.71,27.61,28.01,0.67,3,2,1.5,1,3,2,3,3,2,3,2,0
848d3eaa622b26fe57d352eedd9649f4v6obv                           ,3,1.5,1.5,3,1,1,2,2,3,2,1,1,1,1,1,1,1,27.17,28.27,27.57,27.57,27.17,27.57,2,3,2,1.5,1,1.5,1,3,3,2,2,2,0
86a626c876e7eb4be35f4f0b0a78f97a1rn7h                           ,6,3,1.5,6,4,1,5,2,6,4,1,1,1,1,1,1,1,27.48,27.88,27.66,28.58,27.48,27.88,1,6,4,1.2,0.8,3,2,6,6,2,5,3,0
b79560ebfed7c8cbcfb97475812e0836twsnm                           ,6,2,1.5,6,6,1,5,3,6,4,1,1,1,1,1,1,1,27.44,27.44,27.62,28.13,27.44,27.84,0.67,6,4,1.2,0.8,2,1.33,6,6,2,4,3,0
0e373556d3bf588a1bb2ca6354120cf2dmvjs                           ,3,1.5,1.5,3,3,1,3,2,3,2,1,1,1,1,1,1,1,27.82,27.82,27.82,28.23,27.82,28.23,0.67,3,2,1,0.67,1.5,1,3,3,1,2,2,0
e2bda091a91082b774d59f2c5b8480ebbijs5                           ,3,1.5,1.5,3,3,1,3,2,3,2,1,1,1,1,1,1,1,28.09,28.09,28.09,28.5,28.09,28.5,0.67,3,2,1,0.67,1.5,1,3,3,1,2,2,0
1291b98e40353f77928e363d54a13c569bhfb                           ,3,1.5,1.5,3,3,1,3,2,3,2,1,1,1,1,1,1,1,23.16,23.16,23.16,23.57,23.16,23.57,0.67,3,2,1,0.67,1.5,1,3,3,1,2,2,0
537f38e5fcf2656968e0a1752dd494ba8z1jc                           ,3,1.5,1.5,3,3,1,3,2,3,2,1,1,1,1,1,1,1,26.92,26.92,26.92,27.32,26.92,27.32,0.67,3,2,1,0.67,1.5,1,3,3,1,2,2,0
9f280cd011f10593dc245dad1d93b11dy6rg5                           ,13,4.33,1.44,13,12,1,10,3,13,9,1,1,1,1,1,1,1,26.72,26.8,26.98,28.18,26.72,27.08,0.75,13,9,1.3,0.9,4.33,3,13,13,2,10,4,0
b8e47f06aef714b37073e72ac40a8100mew9c                           ,7,2.33,1.4,7,6,1,6,3,7,5,1,1,1,1,1,1,1,27.25,27.4,27.4,28.1,27.25,27.59,0.83,7,5,1.17,0.83,2.33,1.67,7,7,2,3,2,0
827da66b68b225547050c11df16f845618ptk                           ,4,4,1.33,4,3,1,3,1,4,3,1,1,1,1,1,1,1,27.24,27.53,27.53,28.62,27.24,27.53,1,4,3,1.33,1,4,3,4,4,2,4,2,0
603d769a86a359a0d41118b47c0ab41fx7kz5                           ,4,1.33,1.33,4,4,1,3,3,4,3,1,1,1,1,1,1,1,27.95,27.95,28.24,28.24,27.95,28.24,0.75,4,3,1.33,1,1.33,1,4,4,2,2,2,0
65435e491aa69dd9d44d70a9aeb6e847oqlty                           ,4,1.33,1.33,4,4,1,3,3,4,3,1,1,1,1,1,1,1,26.69,26.69,26.98,26.98,26.69,26.98,0.75,4,3,1.33,1,1.33,1,4,4,2,2,2,0
780566278695c3771f81afc605abdffa4143q                           ,4,4,1.33,4,4,1,4,1,4,3,1,1,1,1,1,1,1,27.14,27.14,27.14,28.53,27.14,27.43,0.75,4,3,1,0.75,4,3,4,4,1,4,2,0
0496c24a6a7f593f28bf7896350e946advl6i                           ,4,4,1.33,4,4,1,4,1,4,3,1,1,1,1,1,1,1,25.34,25.34,25.34,26.73,25.34,25.63,0.75,4,3,1,0.75,4,3,4,4,1,4,2,0
98783b6bd490f32f56c315307643c824nimw1                           ,4,2,1.33,4,4,1,4,2,4,3,1,1,1,1,1,1,1,27.2,27.2,27.2,27.89,27.2,27.48,0.75,4,3,1,0.75,2,1.5,4,4,1,3,2,0
0918eedd8324da06abe5600f058480dc75nfo                           ,4,1.33,1.33,4,2,1,4,3,4,3,1,1,1,1,1,1,1,27.88,28.58,27.88,28.17,27.88,28.17,1.5,4,3,1,0.75,1.33,1,4,4,1,2,2,0
af98b7d5a7c1ccd2968252a2fb1c06f69igbv                           ,4,1,1.33,4,3,1,4,4,4,3,1,1,1,1,1,1,1,27.5,27.78,27.5,27.5,27.5,27.78,1,4,3,1,0.75,1,0.75,4,4,1,1,2,0
07012e0507b4281d430b93ddcd96cae66und7                           ,9,4.5,1.29,9,9,1,8,2,9,7,1,1,1,1,1,1,1,27.1,27.1,27.22,28.61,27.1,27.35,0.78,9,7,1.13,0.88,4.5,3.5,9,9,2,8,2,0
b9fd0772481bf459179a3b4ab49171693im97                           ,9,4.5,1.29,9,8,1,8,2,9,7,1,1,1,1,1,1,1,26.94,27.06,27.06,28.44,26.94,27.19,0.88,9,7,1.13,0.88,4.5,3.5,9,9,2,8,2,0
666e1e141862a646afaa2b71fc7d2c25r1b4h                           ,10,3.33,1.25,10,6,1,7,3,10,8,1,1,1,1,1,1,1,26.82,27.33,27.18,28.03,26.82,27.05,1.33,10,8,1.43,1.14,3.33,2.67,10,10,3,7,3,0
25b58d1533e04571bbc674dab28973f8hha3w                           ,10,5,1.25,10,10,1,8,2,10,8,1,1,1,1,1,1,1,26.96,26.96,27.19,28.57,26.96,27.19,0.8,10,8,1.25,1,5,4,10,10,3,9,3,0
10c1e1164e3f8298df9a35c891f67babiycsr                           ,5,1,1.25,5,4,1,4,5,5,4,1,1,1,1,1,1,1,27.7,27.92,27.92,27.7,27.7,27.92,1,5,4,1.25,1,1,0.8,5,5,2,1,2,0
48117c1e2b56cfc8739f83683e01d9b2aoc66                           ,5,5,1.25,5,2,1,5,1,5,4,1,1,1,1,1,1,1,27.22,28.14,27.22,28.83,27.22,27.44,2,5,4,1,0.8,5,4,5,5,1,5,2,0
37921a9d842612b3b0281f7098d0002539xrj                           ,5,5,1.25,5,4,1,5,1,5,4,1,1,1,1,1,1,1,27.62,27.85,27.62,29.23,27.62,27.85,1,5,4,1,0.8,5,4,5,5,1,5,2,0
1456b44d8b2b16cd94278137269ceb11ns7wy                           ,6,6,1.2,6,6,1,6,1,6,5,1,1,1,1,1,1,1,26.95,26.95,26.95,28.74,26.95,27.13,0.83,6,5,1,0.83,6,5,6,6,1,6,2,0
5686520af5a4215a239418fec906f88e4she5                           ,6,2,1.2,6,6,1,6,3,6,5,1,1,1,1,1,1,1,27.39,27.39,27.39,28.09,27.39,27.57,0.83,6,5,1,0.83,2,1.67,6,6,1,4,2,0
8d8f705595701b921012777a281a553622300                           ,13,3.25,1.18,13,13,1,9,4,13,11,1,1,1,1,1,1,1,26.65,26.65,27.02,27.83,26.65,26.81,0.85,13,11,1.44,1.22,3.25,2.75,13,13,3,9,2,0
eace2a2890644d703c619fff7e41a9a16k7lf                           ,7,2.33,1.17,7,7,1,6,3,7,6,1,1,1,1,1,1,1,27.36,27.36,27.52,28.21,27.36,27.52,0.86,7,6,1.17,1,2.33,2,7,7,2,4,2,0
074daf9a99b01591cb0637cb95c32600roriz                           ,15,1.88,1.15,15,14,1,13,8,15,13,1,1,1,1,1,1,1,26.53,26.6,26.67,27.16,26.53,26.67,0.93,15,13,1.15,1,1.88,1.63,15,15,3,6,3,0
